name	iso_3166	who_member_state	who_region	completed_jee	completed_naphs	published_naphs	naphs_includes_line_item_costs	naphs_data_machine_readable	notes
Afghanistan	AFG	TRUE	Eastern Mediterranean Region	TRUE	TRUE	TRUE	TRUE	FALSE	
Albania	ALB	TRUE	European Region	TRUE	FALSE	FALSE	NA	NA	
Algeria	DZA	TRUE	African Region	TRUE	FALSE	FALSE	NA	NA	
Andorra	AND	TRUE	European Region	FALSE	FALSE	FALSE	NA	NA	
Angola	AGO	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA	
Antigua and Barbuda	ATG	TRUE	Region of the Americas	FALSE	FALSE	FALSE	NA	NA	
Argentina	ARG	TRUE	Region of the Americas	TRUE	FALSE	FALSE	NA	NA	
Armenia	ARM	TRUE	European Region	TRUE	FALSE	FALSE	NA	NA	
Australia	AUS	TRUE	Western Pacific Region	TRUE	TRUE	TRUE	FALSE	FALSE	
Austria	AUT	TRUE	European Region	FALSE	FALSE	FALSE	NA	NA	
Azerbaijan	AZE	TRUE	European Region	TRUE	FALSE	FALSE	NA	NA	
"Bahamas, The"	BHS	TRUE	Region of the Americas	FALSE	FALSE	FALSE	NA	NA	
Bahrain	BHR	TRUE	Eastern Mediterranean Region	TRUE	TRUE	FALSE	NA	NA	
Bangladesh	BGD	TRUE	South-East Asia Region	TRUE	TRUE	FALSE	NA	NA	
Barbados	BRB	TRUE	Region of the Americas	FALSE	FALSE	FALSE	NA	NA	
Belarus	BLR	TRUE	European Region	FALSE	FALSE	FALSE	NA	NA	
Belgium	BEL	TRUE	European Region	TRUE	FALSE	FALSE	NA	NA	
Belize	BLZ	TRUE	Region of the Americas	TRUE	FALSE	FALSE	NA	NA	
Benin	BEN	TRUE	African Region	TRUE	TRUE	TRUE	TRUE	FALSE	
Bhutan	BTN	TRUE	South-East Asia Region	TRUE	TRUE	FALSE	NA	NA	
Bolivia	BOL	TRUE	Region of the Americas	FALSE	FALSE	FALSE	NA	NA	
Bosnia and Herzegovina	BIH	TRUE	European Region	FALSE	FALSE	FALSE	NA	NA	
Botswana	BWA	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA	
Brazil	BRA	TRUE	Region of the Americas	FALSE	FALSE	FALSE	NA	NA	
